source,target,length,source_x,source_y
110,858,29.058,916106,-5.33712e+06
110,108,29.058,916106,-5.33712e+06
111,90,29.058,914831,-5.33753e+06
111,114,29.058,914831,-5.33753e+06
111,659,29.058,914831,-5.33753e+06
1100,1097,29.058,882408,-5.34913e+06
1100,1113,29.058,882408,-5.34913e+06
1100,1345,29.058,882408,-5.34913e+06
511,1007,29.058,909236,-5.34099e+06
511,590,29.058,909236,-5.34099e+06
511,966,29.058,909236,-5.34099e+06
112,780,29.058,915029,-5.33754e+06
112,942,29.058,915029,-5.33754e+06
112,1188,29.058,915029,-5.33754e+06
113,89,29.058,916132,-5.33712e+06
113,867,29.058,916132,-5.33712e+06
113,97,29.058,916132,-5.33712e+06
992,280,29.058,911927,-5.33938e+06
992,279,29.058,911927,-5.33938e+06
992,278,29.058,911927,-5.33938e+06
1102,1096,29.058,882365,-5.3491e+06
1102,1095,29.058,882365,-5.3491e+06
1102,1130,29.058,882365,-5.3491e+06
505,539,29.058,918234,-5.33766e+06
505,508,29.058,918234,-5.33766e+06
505,1073,29.058,918234,-5.33766e+06
114,111,29.058,915347,-5.33736e+06
114,110,29.058,915347,-5.33736e+06
114,865,29.058,915347,-5.33736e+06
115,564,29.058,882554,-5.34949e+06
115,562,29.058,882554,-5.34949e+06
115,398,29.058,882554,-5.34949e+06
499,497,29.058,914954,-5.33702e+06
116,58,29.058,886916,-5.34817e+06
117,118,29.058,887268,-5.34805e+06
996,997,29.058,911938,-5.33936e+06
996,946,29.058,911938,-5.33936e+06
996,998,29.058,911938,-5.33936e+06
509,286,29.058,913806,-5.33943e+06
509,740,29.058,913806,-5.33943e+06
509,538,29.058,913806,-5.33943e+06
118,117,29.058,887313,-5.34802e+06
118,119,29.058,887313,-5.34802e+06
118,120,29.058,887313,-5.34802e+06
119,118,29.058,887655,-5.34786e+06
119,610,29.058,887655,-5.34786e+06
119,1374,29.058,887655,-5.34786e+06
1108,1163,29.058,900475,-5.34129e+06
1108,1107,29.058,900475,-5.34129e+06
